Fecha.y.hora,CO.ppm,NO.ppb,NO2.ppb,NOX.ppb,O3.ppb,PM10.ug.m3,PM2.5.ug.m3,PRS.mmhg,RAINF.mm.hr,RH..,SO2.ppb,SR.KW.m2,TOUT.degC,WSR.KMPH,WDV.DEG
2024-01-01 00:00:00,1.67,4.1,30.3,34.5,9,106,47.4897391304347,715.6,0,45,3.3,0,17.65,4.9,236
2024-01-01 01:00:00,1.7,5,28.9,34.1,9,97,47.4897391304347,710.7,0,47,3.4,0.001,17.12,3.4,259
2024-01-01 02:00:00,1.51,4.3,23.2,27.7,11,103,47.4897391304347,710.4,0,46,3.4,0.001,16.69,3.4,27
2024-01-01 03:00:00,1.3,3.8,20.9,24.9,11,83,47.4897391304347,710.1,0,48,3.2,0.001,15.99,2.8,259
2024-01-01 04:00:00,1.28,4.6,20.7,25.5,9,65,40.19,710.2,0,55,3,0.001,14.74,3.9,259
2024-01-01 05:00:00,2.12,19.8,30.6,50.6,9,67,47.4897391304347,710.2,0,61,3.1,0.001,14.53,3.4,242
2024-01-01 06:00:00,1.54,7,23.7,30.8,9,106,47.4897391304347,710.2,0,55,3,0.001,14.55,3.4,259
2024-01-01 07:00:00,1.04,3.8,13.6,17.6,16,84,35,710.2,0,43,3.3,0.001,16.08,7.1,232
2024-01-01 08:00:00,0.98,3.7,12.3,16.3,19,43,13.23,710.6,0,39,3.2,0.007,16.6,6.3,222
2024-01-01 09:00:00,1.04,6.5,14.9,21.7,19,36,12.31,711,0,33,3.1,0.028,19.7,3.5,27
2024-01-01 10:00:00,1,6.2,12.4,18.8,25,41,13.05,711.2,0,27,3.1,0.087,22.98,4.1,259
2024-01-01 11:00:00,0.92,5.2,9.5,14.9,28,44,9.3,711.1,0,26,3.3,0.457,26.13,4.5,94
2024-01-01 12:00:00,0.9,5,9.1,14.3,34,33,9,710.6,0,26,3.5,0.586,27.96,4.3,27
2024-01-01 13:00:00,1.01,9.1,20.9,30.2,33,41,11.74,709.9,0,26,5.7,0.652,29.14,5.2,58
2024-01-01 14:00:00,1.12,6.4,19.7,26.3,47,48,20.56,709,0,26,5.7,0.634,29.69,7.8,86
2024-01-01 15:00:00,0.96,3.6,8.1,12,54,55,13.01,708.4,0,26,3,0.549,30.58,8.7,70
2024-01-01 16:00:00,0.94,3.5,7.5,11.3,50,32,10.25,708.1,0,26,2.7,0.286,30.43,10.8,71
2024-01-01 17:00:00,1.03,3.2,9.6,13,57,37,14.61,708,0,26,5.7,0.071,29.53,11.6,84
2024-01-01 18:00:00,1.18,3.2,16.5,19.8,57,55,29.78,708.2,0,26,5.7,0.019,27.35,7.9,73
2024-01-01 19:00:00,1.22,3.2,17,20.4,57,75,36.26,708.4,0,27,5.7,0.001,25.75,7.1,55
2024-01-01 20:00:00,1.19,3.2,15.4,18.7,52,74,34.78,708.8,0,29,5.7,0.001,24.28,3.3,51
2024-01-01 21:00:00,1.26,3.2,19.9,23.3,40,58,32.93,709,0,32,5.7,0.001,23.05,4.3,259
2024-01-01 22:00:00,1.7,3.6,31.5,41.2,14,65,44.47,708.7,0,41,5.7,0.001,22.45,7.4,259
2024-01-01 23:00:00,1.69,3.5,25,28.7,14,93,37.73,708.6,0,49,5.3,0.001,21.57,4.3,259
2024-01-02 00:00:00,2.17,3.8,30.3,34.2,9,67,37.55,708.2,0,54,4.5,0.001,20.13,3.6,238
2024-01-02 01:00:00,1.72,4.1,31.5,36.3,9,72,42.65,707.9,0,57,4,0.001,19.04,3.5,257
2024-01-02 02:00:00,1.61,3.8,29.3,33.3,9,73,40.42,707.7,0,59,3.9,0.001,18.32,3.4,259
2024-01-02 03:00:00,1.46,4.4,31.1,35.7,9,66,40.32,707.5,0,59,4.1,0.001,17.28,3.4,240
2024-01-02 04:00:00,1.3,3.8,27.5,31.5,9,78,41.78,707.5,0,61,4.5,0.001,16.98,3.4,259
2024-01-02 05:00:00,1.24,3.9,19.8,23.9,9,84,35.78,707.4,0,67,3.8,0.001,16.4,3.1,236
2024-01-02 06:00:00,1.3,5.3,25.5,31,9,73,40.94,707.4,0,60,4.7,0.001,16.11,3.8,232
2024-01-02 07:00:00,1.5,17.2,28.3,45.8,9,106,43.06,707.7,0,62,4.6,0.001,15.58,4,195
