Fecha.y.hora,CO.ppm,NO.ppb,NO2.ppb,NOX.ppb,O3.ppb,PM10.ug.m3,PM2.5.ug.m3,PRS.mmhg,RAINF.mm.hr,RH..,SO2.ppb,SR.KW.m2,TOUT.degC,WSR.KMPH,WDV.DEG
2024-01-01 00:00:00,1.65,7.2,38.8380191693291,54.7,9,56,35,712.1,0,64,2.4,0.001,15.05,3.1,251
2024-01-01 01:00:00,1.65,8.3,38.8380191693291,54.7,9,82,35,711.9,0,69,2.5,0.001,14.23,3.1,275
2024-01-01 02:00:00,1.65,9.2,38.8380191693291,54.7,9,82,35,711.5,0,73,2.5,0.001,13.5,3.1,235
2024-01-01 03:00:00,1.65,7.3,38.8380191693291,54.7,9,76,35,711.2,0,70,2.5,0.001,13.23,3.2,181
2024-01-01 04:00:00,1.65,6,38.8380191693291,54.7,9,45,20,711.1,0,71,2.5,0.001,12.49,3.1,257
2024-01-01 05:00:00,1.65,6.3,38.8380191693291,54.7,9,45,24,711.2,0,74,2,0.001,12.49,3.1,247
2024-01-01 06:00:00,1.63,6.1,38.8380191693291,54.7,9,41,28,711.2,0,75,1.7,0.001,12.49,3.1,254
2024-01-01 07:00:00,1.52,6.3,38.8380191693291,54.7,9,40,16,711.4,0,73,1.9,0.002,12.49,3.1,258
2024-01-01 08:00:00,1.46,5.8,38.8380191693291,54.7,9,30,9,711.7,0,70,2,0.007,12.49,3.2,264
2024-01-01 09:00:00,1.5,11,38.8380191693291,54.7,9,31,6,712.2,0,60,2.1,0.137,14.52,3.1,158
2024-01-01 10:00:00,1.48,9.5,27.6,36.9,13,29,5,712.4,0,42,2,0.295,19.9,4.2,150
2024-01-01 11:00:00,1.53,11.1,31.9,42.8,13,26,14,712.2,0,30,2,0.418,25.39,3.5,332
2024-01-01 12:00:00,1.51,9.6,19.4,28.8,19,34,15,711.6,0,27,2.6,0.503,28.84,5,334
2024-01-01 13:00:00,1.5,9.2,23.2,32.2,22,33,21,710.8,0,27,3.6,0.528,30.37,5.4,339
2024-01-01 14:00:00,1.57,6.8,15.3,22,35,39,21,709.8,0,27,3,0.496,31.24,5.8,323
2024-01-01 15:00:00,1.44,4.2,9.8,14,39,40,18,709,0,27,2.5,0.421,32.58,5.2,100
2024-01-01 16:00:00,1.38,3.7,7.8,11.6,36,25,13,708.6,0,27,2.4,0.31,32.34,10.1,141
2024-01-01 17:00:00,1.4,3.4,9.3,12.6,42,28,25,708.6,0,27,2.6,0.158,30.99,11.7,143
2024-01-01 18:00:00,1.57,3.7,21.5,25,36,42,27,708.9,0,27,3.6,0.024,28.07,7.3,172
2024-01-01 19:00:00,1.57,3.5,22.8,26.2,41,47,28,709.1,0,28,3.6,0.002,26.08,6.3,178
2024-01-01 20:00:00,1.58,3.3,23.6,26.7,34,59,28,709.5,0,32,3.6,0.001,24.31,6.9,124
2024-01-01 21:00:00,1.54,3.4,22.5,25.8,31,61,27.3939233441965,709.7,0,35,3.6,0.001,22.9,7.8,132
2024-01-01 22:00:00,1.53,3.3,19.7,22.9,30,60,30,709.4,0,37,3.6,0.001,22.03,8.7,132
2024-01-01 23:00:00,1.53,3.5,25.8,29.1,26,56,21,709.3,0,38,3.6,0.001,21.93,8.7,122
2024-01-02 00:00:00,1.61,5.1,38.8380191693291,54.7,14,54,24,709,0,45,3.3,0.001,20.32,4.5,301
2024-01-02 01:00:00,1.62,5.7,38.8380191693291,54.7,10,48,21,708.6,0,54,2.8,0.001,18.21,3.5,325
2024-01-02 02:00:00,1.6,5.9,38.8380191693291,54.7,9,54,20,708.4,0,62,2.4,0.001,17.16,4,309
2024-01-02 03:00:00,1.65,6.6,38.8380191693291,54.7,9,52,22,708.1,0,64,2.3,0.001,17.53,5.8,318
2024-01-02 04:00:00,1.65,8.1,38.8380191693291,47.1,9,54,28,708.1,0,62,2.6,0.001,17.86,7,307
2024-01-02 05:00:00,1.65,6.8,38.8380191693291,54.7,9,67,28,708,0,60,2.6,0.001,17.66,6.5,322
