Fecha.y.hora,CO.ppm,NO.ppb,NO2.ppb,NOX.ppb,O3.ppb,PM10.ug.m3,PM2.5.ug.m3,PRS.mmhg,RAINF.mm.hr,RH..,SO2.ppb,SR.KW.m2,TOUT.degC,WSR.KMPH,WDV.DEG
2024-01-01 00:00:00,2.6,32.2,32.4,64.3,8,122,50,701.2,0,55,4.4,0,15.66,2.9,299
2024-01-01 01:00:00,2.6,32.2,32.4,64.3,8,122,50,700.9,0,58,4.9,0,15.04,2.5,299
2024-01-01 02:00:00,2.6,32.2,32.4,64.3,8,122,50,700.6,0,58,5.5,0,15.13,2.7,270
2024-01-01 03:00:00,2.6,32.2,32.4,64.3,7,122,50,700.1,0,55,5.2,0,15.33,3.2,271
2024-01-01 04:00:00,2.32,26.9,31.8,58.7,7,122,50,700.1,0,52,5.1,0,15.53,2.5,260
2024-01-01 05:00:00,1.95,24.8,32.2,57,7,94,50,700.2,0,53,4.7,0,14.5,3.7,274
2024-01-01 06:00:00,1.77,19.5,27.1,46.6,7,76,42,700.3,0,52,4.5,0,14.13,2.9,269
2024-01-01 07:00:00,1.95,24,25.9,49.9,7,61,45,700.5,0,55,4.2,0,13.17,2.5,261
2024-01-01 08:00:00,1.52,8.1,22.2,30.3,7,64,30,700.8,0,51,4.1,0.002,13.87,3.3,261
2024-01-01 09:00:00,1.43,18.8,23.5,42.3,7,48,22,701.2,0,39,4.8,0.126,18.07,2.5,281
2024-01-01 10:00:00,1.32,15.2,24.5,39.7,16,53,23,701.4,0,30,5.6,0.273,23.11,2.5,299
2024-01-01 11:00:00,1.03,8.5,13.2,21.7,23,40,12,701.2,0,26,6.9,0.4,27.71,2.5,84
2024-01-01 12:00:00,0.96,7.1,9,16.1,30,34,9.57,700.6,0,26,4.9,0.487,29.05,3.2,139
2024-01-01 13:00:00,0.89,5.9,6.9,12.3,35,26,9.57,699.8,0,26,3.7,0.52,29.9,4.5,95
2024-01-01 14:00:00,0.95,6.3,8.8,15.1,37,26,9.57,698.9,0,26,4,0.474,29.95,7.9,98
2024-01-01 15:00:00,0.98,5.8,11.7,17.5,43,26,9.57,698.1,0,26,5.4,0.432,29.92,11.5,113
2024-01-01 16:00:00,0.92,4.4,9,13.5,43,32,9.57,697.8,0,26,4.2,0.329,30.12,10.8,104
2024-01-01 17:00:00,0.97,4,10.5,14.5,41,28,9.57,697.6,0,26,4,0.152,29.35,9.7,116
2024-01-01 18:00:00,1.09,4.1,13.9,18,35,26,11,697.9,0,26,4.1,0.013,26.99,6.9,127
2024-01-01 19:00:00,1.34,6.2,24.3,30.4,36,27,23,698.2,0,27,7.9,0,25.42,5.2,148
2024-01-01 20:00:00,1.49,5.7,29.1,34.8,37,122,50,698.6,0,30,8.7,0,24.32,5.7,162
2024-01-01 21:00:00,1.78,18,32.4,64.2,20,78,39,698.9,0,32,8.7,0,23.03,2.5,245
2024-01-01 22:00:00,1.8,15.2,32.4,63.9,15,91,38,698.6,0,36,8.7,0,21.62,2.5,230
2024-01-01 23:00:00,1.92,17.6,32.4,64.3,7,85,50,698.5,0,42,8.7,0,19.6,2.5,299
2024-01-02 00:00:00,1.91,27.2,32.4,64.3,7,106,50,698.2,0,49,6.6,0,18.52,2.5,282
2024-01-02 01:00:00,1.86,32.2,32.4,64.3,7,90,42,697.8,0,53,5.8,0,17.72,2.5,299
